Time,IPAddress,Value,Type,Critic,Observe
14:10,fd00::c30c:0:0:2,-5.0,temperature,0,4194304
14:10,fd00::c30c:0:0:2,-11.0,temperature,0,1
14:11,fd00::c30c:0:0:2,-16.0,temperature,0,2
14:20,fd00::c30c:0:0:2,-10.0,temperature,0,3
14:21,fd00::c30c:0:0:2,-3.0,temperature,0,4
14:23,fd00::c30c:0:0:2,3.0,temperature,0,5
14:25,fd00::c30c:0:0:2,11.0,temperature,0,6
14:27,fd00::c30c:0:0:2,19.0,temperature,0,7
14:29,fd00::c30c:0:0:2,26.0,temperature,0,8
14:33,fd00::c30c:0:0:2,39.0,temperature,1,11
14:37,fd00::c30c:0:0:2,38.0,temperature,1,12
14:39,fd00::c30c:0:0:2,34.0,temperature,1,13
14:41,fd00::c30c:0:0:2,29.0,temperature,0,14
14:43,fd00::c30c:0:0:2,22.0,temperature,0,15
14:45,fd00::c30c:0:0:2,14.0,temperature,0,16
14:49,fd00::c30c:0:0:2,0.0,temperature,0,18
14:51,fd00::c30c:0:0:2,-7.0,temperature,0,19
14:55,fd00::c30c:0:0:2,-17.0,temperature,0,21
15:3,fd00::c30c:0:0:2,-13.0,temperature,0,22
15:5,fd00::c30c:0:0:2,-7.0,temperature,0,23
15:7,fd00::c30c:0:0:2,0.0,temperature,0,24
15:9,fd00::c30c:0:0:2,6.0,temperature,0,25
15:11,fd00::c30c:0:0:2,14.0,temperature,0,26
15:13,fd00::c30c:0:0:2,22.0,temperature,0,27
15:15,fd00::c30c:0:0:2,29.0,temperature,0,28
15:22,fd00::c30c:0:0:2,39.0,temperature,1,31
15:25,fd00::c30c:0:0:2,36.0,temperature,1,32
15:27,fd00::c30c:0:0:2,32.0,temperature,1,33
15:29,fd00::c30c:0:0:2,26.0,temperature,0,34
15:33,fd00::c30c:0:0:2,11.0,temperature,0,36
15:35,fd00::c30c:0:0:2,3.0,temperature,0,37
15:37,fd00::c30c:0:0:2,-4.0,temperature,0,38
15:39,fd00::c30c:0:0:2,-10.0,temperature,0,39
15:41,fd00::c30c:0:0:2,-15.0,temperature,0,40
15:45,fd00::c30c:0:0:2,-19.0,temperature,0,41
15:51,fd00::c30c:0:0:2,-11.0,temperature,0,42
15:53,fd00::c30c:0:0:2,-5.0,temperature,0,43
15:58,fd00::c30c:0:0:2,10.0,temperature,0,45
16:3,fd00::c30c:0:0:2,-5.0,temperature,0,47
16:5,fd00::c30c:0:0:2,-11.0,temperature,0,48
16:7,fd00::c30c:0:0:2,-16.0,temperature,0,49
16:17,fd00::c30c:0:0:2,-10.0,temperature,0,50
16:19,fd00::c30c:0:0:2,-3.0,temperature,0,51
16:23,fd00::c30c:0:0:2,11.0,temperature,0,53
16:25,fd00::c30c:0:0:2,19.0,temperature,0,54
16:27,fd00::c30c:0:0:2,26.0,temperature,0,55
16:29,fd00::c30c:0:0:2,32.0,temperature,0,56
16:31,fd00::c30c:0:0:2,36.0,temperature,1,57
16:33,fd00::c30c:0:0:2,39.0,temperature,1,58
16:40,fd00::c30c:0:0:2,34.0,temperature,1,60
16:41,fd00::c30c:0:0:2,29.0,temperature,0,61
16:43,fd00::c30c:0:0:2,22.0,temperature,0,62
16:45,fd00::c30c:0:0:2,14.0,temperature,0,63
16:47,fd00::c30c:0:0:2,6.0,temperature,0,64
16:49,fd00::c30c:0:0:2,0.0,temperature,0,65
16:51,fd00::c30c:0:0:2,-7.0,temperature,0,66
16:53,fd00::c30c:0:0:2,-13.0,temperature,0,67
16:55,fd00::c30c:0:0:2,-17.0,temperature,0,68
17:3,fd00::c30c:0:0:2,-13.0,temperature,0,69
17:5,fd00::c30c:0:0:2,-7.0,temperature,0,70
17:7,fd00::c30c:0:0:2,0.0,temperature,0,71
17:9,fd00::c30c:0:0:2,6.0,temperature,0,72
17:11,fd00::c30c:0:0:2,14.0,temperature,0,73
17:13,fd00::c30c:0:0:2,22.0,temperature,0,74
17:15,fd00::c30c:0:0:2,29.0,temperature,0,75
