Time,IPAddress,Value,Type,Critic,Observe
14:09 ,fd00::c30c:0:0:2,-5,temperature,0,0
14:10 ,fd00::c30c:0:0:2,-11,temperature,0,0
14:11 ,fd00::c30c:0:0:2,-16,temperature,0,2
14:20 ,fd00::c30c:0:0:2,-10,temperature,0,0
14:21 ,fd00::c30c:0:0:2,-3,temperature,0,4
14:23 ,fd00::c30c:0:0:2,3,temperature,0,5
14:25 ,fd00::c30c:0:0:2,11,temperature,0,6
14:27 ,fd00::c30c:0:0:2,19,temperature,0,7
14:29 ,fd00::c30c:0:0:2,26,temperature,0,8
14:31 ,fd00::c30c:0:0:2,32,temperature,1,9
14:33 ,fd00::c30c:0:0:2,36,temperature,1,10
14:33 ,fd00::c30c:0:0:2,39,temperature,1,0
14:37 ,fd00::c30c:0:0:2,38,temperature,1,12
14:39 ,fd00::c30c:0:0:2,34,temperature,1,13
14:41 ,fd00::c30c:0:0:2,29,temperature,0,14
14:43 ,fd00::c30c:0:0:2,22,temperature,0,15
14:45 ,fd00::c30c:0:0:2,14,temperature,0,16
14:47 ,fd00::c30c:0:0:2,6,temperature,0,17
14:49 ,fd00::c30c:0:0:2,0,temperature,0,18
14:51 ,fd00::c30c:0:0:2,-7,temperature,0,19
14:53 ,fd00::c30c:0:0:2,-13,temperature,0,20
14:55 ,fd00::c30c:0:0:2,-17,temperature,0,21
15:03 ,fd00::c30c:0:0:2,-13,temperature,0,22
15:05 ,fd00::c30c:0:0:2,-7,temperature,0,23
15:07 ,fd00::c30c:0:0:2,0,temperature,0,24
15:09 ,fd00::c30c:0:0:2,6,temperature,0,25
15:11 ,fd00::c30c:0:0:2,14,temperature,0,26
15:13 ,fd00::c30c:0:0:2,22,temperature,0,27
15:15 ,fd00::c30c:0:0:2,29,temperature,0,28
15:17 ,fd00::c30c:0:0:2,34,temperature,1,29
15:19 ,fd00::c30c:0:0:2,38,temperature,1,30
15:21 ,fd00::c30c:0:0:2,39,temperature,1,31
15:25 ,fd00::c30c:0:0:2,36,temperature,1,32
15:27 ,fd00::c30c:0:0:2,32,temperature,1,33
15:29 ,fd00::c30c:0:0:2,26,temperature,0,34
15:31 ,fd00::c30c:0:0:2,19,temperature,0,35
15:33 ,fd00::c30c:0:0:2,11,temperature,0,36
15:35 ,fd00::c30c:0:0:2,3,temperature,0,37
15:37 ,fd00::c30c:0:0:2,-4,temperature,0,38
15:39 ,fd00::c30c:0:0:2,-10,temperature,0,39
15:41 ,fd00::c30c:0:0:2,-15,temperature,0,40
15:45 ,fd00::c30c:0:0:2,-19,temperature,0,41
15:51 ,fd00::c30c:0:0:2,-11,temperature,0,42
15:53 ,fd00::c30c:0:0:2,-5,temperature,0,43
15:55 ,fd00::c30c:0:0:2,2,temperature,0,44
15:57 ,fd00::c30c:0:0:2,10,temperature,0,45
16:01 ,fd00::c30c:0:0:2,2,temperature,0,46
16:03 ,fd00::c30c:0:0:2,-5,temperature,0,47
16:05 ,fd00::c30c:0:0:2,-11,temperature,0,48
16:07 ,fd00::c30c:0:0:2,-16,temperature,0,49
16:17 ,fd00::c30c:0:0:2,-10,temperature,0,50
16:19 ,fd00::c30c:0:0:2,-3,temperature,0,51
16:21 ,fd00::c30c:0:0:2,3,temperature,0,52
16:23 ,fd00::c30c:0:0:2,11,temperature,0,53
16:25 ,fd00::c30c:0:0:2,19,temperature,0,54
16:27 ,fd00::c30c:0:0:2,26,temperature,0,55
16:29 ,fd00::c30c:0:0:2,32,temperature,0,56
16:31 ,fd00::c30c:0:0:2,36,temperature,1,57
16:33 ,fd00::c30c:0:0:2,39,temperature,1,58
16:37 ,fd00::c30c:0:0:2,38,temperature,1,59
16:39 ,fd00::c30c:0:0:2,34,temperature,1,60
16:41 ,fd00::c30c:0:0:2,29,temperature,0,61
16:43 ,fd00::c30c:0:0:2,22,temperature,0,62
16:45 ,fd00::c30c:0:0:2,14,temperature,0,63
16:47 ,fd00::c30c:0:0:2,6,temperature,0,64
16:49 ,fd00::c30c:0:0:2,0,temperature,0,65
