Time,IPAddress,Value,Type,Critic,Observe
52:24 ,fd00::c30c:0:0:1,-5,temperature,0,0
52:25 ,fd00::c30c:0:0:1,-11,temperature,0,1
52:27 ,fd00::c30c:0:0:1,-16,temperature,0,2
52:37 ,fd00::c30c:0:0:1,-10,temperature,0,3
52:39 ,fd00::c30c:0:0:1,-3,temperature,0,4
52:41 ,fd00::c30c:0:0:1,3,temperature,0,5
52:43 ,fd00::c30c:0:0:1,11,temperature,0,6
52:45 ,fd00::c30c:0:0:1,19,temperature,0,7
52:47 ,fd00::c30c:0:0:1,26,temperature,0,8
52:49 ,fd00::c30c:0:0:1,32,temperature,1,9
52:51 ,fd00::c30c:0:0:1,36,temperature,1,10
52:53 ,fd00::c30c:0:0:1,39,temperature,1,11
52:57 ,fd00::c30c:0:0:1,38,temperature,1,12
52:59 ,fd00::c30c:0:0:1,34,temperature,1,13
53:01 ,fd00::c30c:0:0:1,29,temperature,0,14
53:03 ,fd00::c30c:0:0:1,22,temperature,0,15
53:05 ,fd00::c30c:0:0:1,14,temperature,0,16
53:07 ,fd00::c30c:0:0:1,6,temperature,0,17
53:09 ,fd00::c30c:0:0:1,0,temperature,0,18
53:11 ,fd00::c30c:0:0:1,-7,temperature,0,19
53:13 ,fd00::c30c:0:0:1,-13,temperature,0,20
53:15 ,fd00::c30c:0:0:1,-17,temperature,0,21
53:23 ,fd00::c30c:0:0:1,-13,temperature,0,22
53:25 ,fd00::c30c:0:0:1,-7,temperature,0,23
53:27 ,fd00::c30c:0:0:1,0,temperature,0,24
53:29 ,fd00::c30c:0:0:1,6,temperature,0,25
53:31 ,fd00::c30c:0:0:1,14,temperature,0,26
53:33 ,fd00::c30c:0:0:1,22,temperature,0,27
53:35 ,fd00::c30c:0:0:1,29,temperature,0,28
53:37 ,fd00::c30c:0:0:1,34,temperature,1,29
53:39 ,fd00::c30c:0:0:1,38,temperature,1,30
53:41 ,fd00::c30c:0:0:1,39,temperature,1,31
53:45 ,fd00::c30c:0:0:1,36,temperature,1,32
53:47 ,fd00::c30c:0:0:1,32,temperature,1,33
53:49 ,fd00::c30c:0:0:1,26,temperature,0,34
53:51 ,fd00::c30c:0:0:1,19,temperature,0,35
53:53 ,fd00::c30c:0:0:1,11,temperature,0,36
53:55 ,fd00::c30c:0:0:1,3,temperature,0,37
53:57 ,fd00::c30c:0:0:1,-4,temperature,0,38
53:59 ,fd00::c30c:0:0:1,-10,temperature,0,39
54:01 ,fd00::c30c:0:0:1,-15,temperature,0,40
54:05 ,fd00::c30c:0:0:1,-19,temperature,0,41
54:11 ,fd00::c30c:0:0:1,-11,temperature,0,42
54:13 ,fd00::c30c:0:0:1,-5,temperature,0,43
54:15 ,fd00::c30c:0:0:1,2,temperature,0,44
54:17 ,fd00::c30c:0:0:1,10,temperature,0,45
54:21 ,fd00::c30c:0:0:1,2,temperature,0,46
54:23 ,fd00::c30c:0:0:1,-5,temperature,0,47
54:25 ,fd00::c30c:0:0:1,-11,temperature,0,48
54:27 ,fd00::c30c:0:0:1,-16,temperature,0,49
54:37 ,fd00::c30c:0:0:1,-10,temperature,0,50
54:39 ,fd00::c30c:0:0:1,-3,temperature,0,51
54:41 ,fd00::c30c:0:0:1,3,temperature,0,52
54:43 ,fd00::c30c:0:0:1,11,temperature,0,53
54:45 ,fd00::c30c:0:0:1,19,temperature,0,54
54:47 ,fd00::c30c:0:0:1,26,temperature,0,55
54:49 ,fd00::c30c:0:0:1,32,temperature,0,56
54:51 ,fd00::c30c:0:0:1,36,temperature,1,57
54:53 ,fd00::c30c:0:0:1,39,temperature,1,58
54:57 ,fd00::c30c:0:0:1,38,temperature,1,59
54:59 ,fd00::c30c:0:0:1,34,temperature,1,60
55:01 ,fd00::c30c:0:0:1,29,temperature,0,61
55:03 ,fd00::c30c:0:0:1,22,temperature,0,62
55:05 ,fd00::c30c:0:0:1,14,temperature,0,63
55:07 ,fd00::c30c:0:0:1,6,temperature,0,64
55:09 ,fd00::c30c:0:0:1,0,temperature,0,65
55:11 ,fd00::c30c:0:0:1,-7,temperature,0,66
55:13 ,fd00::c30c:0:0:1,-13,temperature,0,67
55:15 ,fd00::c30c:0:0:1,-17,temperature,0,68
55:23 ,fd00::c30c:0:0:1,-13,temperature,0,69
55:25 ,fd00::c30c:0:0:1,-7,temperature,0,70
55:27 ,fd00::c30c:0:0:1,0,temperature,0,71
55:29 1
55:29 ,fd00::c30c:0:0:1,6,temperature,0,72
55:31 ,fd00::c30c:0:0:1,14,temperature,0,73
55:33 ,fd00::c30c:0:0:1,22,temperature,0,74
55:35 ,fd00::c30c:0:0:1,29,temperature,0,75
55:37 ,fd00::c30c:0:0:1,34,temperature,1,76
55:39 ,fd00::c30c:0:0:1,38,temperature,1,77
55:41 ,fd00::c30c:0:0:1,39,temperature,1,78
55:45 ,fd00::c30c:0:0:1,36,temperature,1,79
55:47 ,fd00::c30c:0:0:1,32,temperature,1,80
55:49 ,fd00::c30c:0:0:1,26,temperature,0,81
55:51 ,fd00::c30c:0:0:1,19,temperature,0,82
55:53 ,fd00::c30c:0:0:1,11,temperature,0,83
55:55 ,fd00::c30c:0:0:1,3,temperature,0,84
55:57 ,fd00::c30c:0:0:1,-4,temperature,0,85
55:59 ,fd00::c30c:0:0:1,-10,temperature,0,86
56:01 ,fd00::c30c:0:0:1,-15,temperature,0,87
56:05 ,fd00::c30c:0:0:1,-19,temperature,0,88
56:11 ,fd00::c30c:0:0:1,-11,temperature,0,89
56:13 ,fd00::c30c:0:0:1,-5,temperature,0,90
56:15 ,fd00::c30c:0:0:1,2,temperature,0,91
56:17 ,fd00::c30c:0:0:1,10,temperature,0,92
56:21 ,fd00::c30c:0:0:1,2,temperature,0,93
56:23 ,fd00::c30c:0:0:1,-5,temperature,0,94
56:25 ,fd00::c30c:0:0:1,-11,temperature,0,95
56:27 ,fd00::c30c:0:0:1,-16,temperature,0,96
56:37 ,fd00::c30c:0:0:1,-10,temperature,0,97
56:39 ,fd00::c30c:0:0:1,-3,temperature,0,98
56:41 ,fd00::c30c:0:0:1,3,temperature,0,99
56:43 ,fd00::c30c:0:0:1,11,temperature,0,100
56:45 ,fd00::c30c:0:0:1,19,temperature,0,101
56:47 ,fd00::c30c:0:0:1,26,temperature,0,102
56:49 ,fd00::c30c:0:0:1,32,temperature,0,103
56:51 ,fd00::c30c:0:0:1,36,temperature,1,104
56:53 ,fd00::c30c:0:0:1,39,temperature,1,105
56:57 ,fd00::c30c:0:0:1,38,temperature,1,106
56:59 ,fd00::c30c:0:0:1,34,temperature,1,107
57:01 ,fd00::c30c:0:0:1,29,temperature,0,108
57:03 ,fd00::c30c:0:0:1,22,temperature,0,109
57:05 ,fd00::c30c:0:0:1,14,temperature,0,110
57:07 ,fd00::c30c:0:0:1,6,temperature,0,111
57:09 ,fd00::c30c:0:0:1,0,temperature,0,112
57:11 ,fd00::c30c:0:0:1,-7,temperature,0,113
57:13 ,fd00::c30c:0:0:1,-13,temperature,0,114
57:15 ,fd00::c30c:0:0:1,-17,temperature,0,115
57:23 ,fd00::c30c:0:0:1,-13,temperature,0,116
57:25 ,fd00::c30c:0:0:1,-7,temperature,0,117
57:27 ,fd00::c30c:0:0:1,0,temperature,0,118
57:29 ,fd00::c30c:0:0:1,6,temperature,0,119
