Time,IPAddress,Value,Type,Critic,Observe
35:54 ,fd00::c30c:0:0:1,-5,temperature,0,0
35:54 ,fd00::c30c:0:0:1,-11,temperature,0,0
35:55 ,fd00::c30c:0:0:1,-16,temperature,0,2
36:05 ,fd00::c30c:0:0:1,-10,temperature,0,3
36:07 ,fd00::c30c:0:0:1,-3,temperature,0,4
36:09 ,fd00::c30c:0:0:1,3,temperature,0,5
36:11 ,fd00::c30c:0:0:1,11,temperature,0,6
36:13 ,fd00::c30c:0:0:1,19,temperature,0,7
36:15 ,fd00::c30c:0:0:1,26,temperature,0,8
36:17 ,fd00::c30c:0:0:1,32,temperature,1,9
36:19 ,fd00::c30c:0:0:1,36,temperature,1,10
36:21 ,fd00::c30c:0:0:1,39,temperature,1,11
36:25 ,fd00::c30c:0:0:1,38,temperature,1,12
36:27 ,fd00::c30c:0:0:1,34,temperature,1,13
36:29 ,fd00::c30c:0:0:1,29,temperature,0,14
36:31 ,fd00::c30c:0:0:1,22,temperature,0,15
36:33 ,fd00::c30c:0:0:1,14,temperature,0,16
36:35 ,fd00::c30c:0:0:1,6,temperature,0,17
36:37 ,fd00::c30c:0:0:1,0,temperature,0,18
36:39 ,fd00::c30c:0:0:1,-7,temperature,0,19
36:41 ,fd00::c30c:0:0:1,-13,temperature,0,20
36:43 ,fd00::c30c:0:0:1,-17,temperature,0,21
36:51 ,fd00::c30c:0:0:1,-13,temperature,0,22
36:53 ,fd00::c30c:0:0:1,-7,temperature,0,23
36:55 ,fd00::c30c:0:0:1,0,temperature,0,24
36:57 ,fd00::c30c:0:0:1,6,temperature,0,25
36:59 ,fd00::c30c:0:0:1,14,temperature,0,26
37:01 ,fd00::c30c:0:0:1,22,temperature,0,27
37:03 ,fd00::c30c:0:0:1,29,temperature,0,28
37:05 ,fd00::c30c:0:0:1,34,temperature,1,29
37:07 ,fd00::c30c:0:0:1,38,temperature,1,30
37:09 ,fd00::c30c:0:0:1,39,temperature,1,31
37:13 ,fd00::c30c:0:0:1,36,temperature,1,32
37:15 ,fd00::c30c:0:0:1,32,temperature,1,33
37:17 ,fd00::c30c:0:0:1,26,temperature,0,34
