Time,IPAddress,Value,Type,Critic,Observe
56:13,fd00::c30c:0:0:2,-22.0,temperature,0,0
56:15,fd00::c30c:0:0:2,6.0,temperature,0,1
56:17,fd00::c30c:0:0:2,34.0,temperature,1,2
56:19,fd00::c30c:0:0:2,-38.0,temperature,0,3
56:21,fd00::c30c:0:0:2,-10.0,temperature,0,4
56:23,fd00::c30c:0:0:2,10.0,temperature,0,5
56:25,fd00::c30c:0:0:2,38.0,temperature,1,6
56:27,fd00::c30c:0:0:2,-34.0,temperature,0,7
56:29,fd00::c30c:0:0:2,-6.0,temperature,0,8
56:31,fd00::c30c:0:0:2,22.0,temperature,0,9
56:33,fd00::c30c:0:0:2,50.0,temperature,1,10
56:35,fd00::c30c:0:0:2,-22.0,temperature,0,11
56:37,fd00::c30c:0:0:2,6.0,temperature,0,12
56:39,fd00::c30c:0:0:2,34.0,temperature,1,13
56:41,fd00::c30c:0:0:2,-38.0,temperature,0,14
56:43,fd00::c30c:0:0:2,-10.0,temperature,0,15
56:45,fd00::c30c:0:0:2,10.0,temperature,0,16
56:47,fd00::c30c:0:0:2,38.0,temperature,1,17
56:49,fd00::c30c:0:0:2,-34.0,temperature,0,18
56:51,fd00::c30c:0:0:2,-6.0,temperature,0,19
56:53,fd00::c30c:0:0:2,22.0,temperature,0,20
56:55,fd00::c30c:0:0:2,50.0,temperature,1,21
56:57,fd00::c30c:0:0:2,-22.0,temperature,0,22
56:59,fd00::c30c:0:0:2,6.0,temperature,0,23
57:1,fd00::c30c:0:0:2,34.0,temperature,1,24
57:3,fd00::c30c:0:0:2,-38.0,temperature,0,25
57:5,fd00::c30c:0:0:2,-10.0,temperature,0,26
57:7,fd00::c30c:0:0:2,10.0,temperature,0,27
57:9,fd00::c30c:0:0:2,38.0,temperature,1,28
57:11,fd00::c30c:0:0:2,-34.0,temperature,0,29
57:13,fd00::c30c:0:0:2,-6.0,temperature,0,30
57:15,fd00::c30c:0:0:2,22.0,temperature,0,31
57:17,fd00::c30c:0:0:2,50.0,temperature,1,32
57:19,fd00::c30c:0:0:2,-22.0,temperature,0,33
57:21,fd00::c30c:0:0:2,6.0,temperature,0,34
57:23,fd00::c30c:0:0:2,34.0,temperature,1,35
57:25,fd00::c30c:0:0:2,-38.0,temperature,0,36
57:27,fd00::c30c:0:0:2,-10.0,temperature,0,37
57:29,fd00::c30c:0:0:2,10.0,temperature,0,38
57:31,fd00::c30c:0:0:2,38.0,temperature,1,39
57:33,fd00::c30c:0:0:2,-34.0,temperature,0,40
57:35,fd00::c30c:0:0:2,-6.0,temperature,0,41
57:37,fd00::c30c:0:0:2,22.0,temperature,0,42
57:39,fd00::c30c:0:0:2,50.0,temperature,1,43
57:41,fd00::c30c:0:0:2,-22.0,temperature,0,44
57:43,fd00::c30c:0:0:2,6.0,temperature,0,45
57:45,fd00::c30c:0:0:2,34.0,temperature,1,46
57:47,fd00::c30c:0:0:2,-38.0,temperature,0,47
57:49,fd00::c30c:0:0:2,-10.0,temperature,0,48
57:51,fd00::c30c:0:0:2,10.0,temperature,0,49
57:53,fd00::c30c:0:0:2,38.0,temperature,1,50
