Time,IPAddress,Value,Type,Critic,Observe
36:49,fd00::c30c:0:0:2,28.0,temperature,0,0
37:4,fd00::c30c:0:0:2,33.0,temperature,1,1
37:6,fd00::c30c:0:0:2,28.0,temperature,0,2
37:8,fd00::c30c:0:0:2,28.0,temperature,0,3
37:14,fd00::c30c:0:0:2,28.0,temperature,0,4
37:22,fd00::c30c:0:0:2,28.0,temperature,0,5
37:24,fd00::c30c:0:0:2,33.0,temperature,1,6
37:26,fd00::c30c:0:0:2,28.0,temperature,0,7
37:28,fd00::c30c:0:0:2,28.0,temperature,0,8
37:34,fd00::c30c:0:0:2,28.0,temperature,0,9
37:42,fd00::c30c:0:0:2,28.0,temperature,0,10
37:44,fd00::c30c:0:0:2,33.0,temperature,1,11
37:46,fd00::c30c:0:0:2,28.0,temperature,0,12
37:48,fd00::c30c:0:0:2,28.0,temperature,0,13
37:54,fd00::c30c:0:0:2,28.0,temperature,0,14
38:2,fd00::c30c:0:0:2,28.0,temperature,0,15
38:4,fd00::c30c:0:0:2,33.0,temperature,1,16
38:6,fd00::c30c:0:0:2,28.0,temperature,0,17
38:8,fd00::c30c:0:0:2,28.0,temperature,0,18
38:14,fd00::c30c:0:0:2,28.0,temperature,0,19
52:27,fd00::c30c:0:0:2,28.0,temperature,0,0
52:41,fd00::c30c:0:0:2,33.0,temperature,1,1
52:43,fd00::c30c:0:0:2,28.0,temperature,0,2
52:45,fd00::c30c:0:0:2,28.0,temperature,0,3
53:1,fd00::c30c:0:0:2,33.0,temperature,1,4
53:3,fd00::c30c:0:0:2,28.0,temperature,0,5
53:5,fd00::c30c:0:0:2,28.0,temperature,0,6
53:21,fd00::c30c:0:0:2,33.0,temperature,1,7
53:23,fd00::c30c:0:0:2,28.0,temperature,0,8
53:25,fd00::c30c:0:0:2,28.0,temperature,0,9
53:41,fd00::c30c:0:0:2,33.0,temperature,1,10
53:43,fd00::c30c:0:0:2,28.0,temperature,0,11
53:45,fd00::c30c:0:0:2,28.0,temperature,0,12
54:3,fd00::c30c:0:0:2,28.0,temperature,0,13
54:21,fd00::c30c:0:0:2,28.0,temperature,0,14
54:39,fd00::c30c:0:0:2,28.0,temperature,0,15
54:41,fd00::c30c:0:0:2,33.0,temperature,1,16
54:43,fd00::c30c:0:0:2,28.0,temperature,0,17
56:7,fd00::c30c:0:0:2,28.0,temperature,0,0
56:22,fd00::c30c:0:0:2,33.0,temperature,1,1
56:24,fd00::c30c:0:0:2,28.0,temperature,0,2
56:26,fd00::c30c:0:0:2,28.0,temperature,0,3
56:42,fd00::c30c:0:0:2,33.0,temperature,1,4
56:44,fd00::c30c:0:0:2,28.0,temperature,0,5
56:46,fd00::c30c:0:0:2,28.0,temperature,0,6
57:2,fd00::c30c:0:0:2,33.0,temperature,1,7
57:4,fd00::c30c:0:0:2,28.0,temperature,0,8
57:6,fd00::c30c:0:0:2,28.0,temperature,0,9
57:22,fd00::c30c:0:0:2,33.0,temperature,1,10
2:35,fd00::c30c:0:0:2,28.0,temperature,0,0
2:48,fd00::c30c:0:0:2,28.0,temperature,0,1
3:13,fd00::c30c:0:0:2,33.0,temperature,1,2
3:18,fd00::c30c:0:0:2,28.0,temperature,0,3
3:33,fd00::c30c:0:0:2,28.0,temperature,0,4
4:3,fd00::c30c:0:0:2,33.0,temperature,1,5
4:8,fd00::c30c:0:0:2,28.0,temperature,0,6
4:23,fd00::c30c:0:0:2,28.0,temperature,0,7
7:37,fd00::c30c:0:0:2,28.0,temperature,0,0
7:49,fd00::c30c:0:0:2,28.0,temperature,0,1
8:14,fd00::c30c:0:0:2,33.0,temperature,1,2
8:19,fd00::c30c:0:0:2,28.0,temperature,0,3
8:34,fd00::c30c:0:0:2,28.0,temperature,0,4
9:4,fd00::c30c:0:0:2,33.0,temperature,1,5
9:9,fd00::c30c:0:0:2,28.0,temperature,0,6
11:0,fd00::c30c:0:0:2,28.0,temperature,0,0
11:10,fd00::c30c:0:0:2,28.0,temperature,0,1
11:45,fd00::c30c:0:0:2,28.0,temperature,0,2
12:25,fd00::c30c:0:0:2,33.0,temperature,1,3
12:30,fd00::c30c:0:0:2,28.0,temperature,0,4
12:45,fd00::c30c:0:0:2,28.0,temperature,0,5
13:20,fd00::c30c:0:0:2,28.0,temperature,0,6
14:5,fd00::c30c:0:0:2,33.0,temperature,1,7
14:10,fd00::c30c:0:0:2,28.0,temperature,0,8
14:25,fd00::c30c:0:0:2,28.0,temperature,0,9
15:0,fd00::c30c:0:0:2,28.0,temperature,0,10
15:55,fd00::c30c:0:0:2,28.0,temperature,0,11
19:28,fd00::c30c:0:0:2,28.0,temperature,0,0
19:39,fd00::c30c:0:0:2,28.0,temperature,0,1
20:3,fd00::c30c:0:0:2,33.0,temperature,1,2
20:5,fd00::c30c:0:0:2,28.0,temperature,0,3
20:17,fd00::c30c:0:0:2,28.0,temperature,0,4
20:43,fd00::c30c:0:0:2,33.0,temperature,1,5
20:45,fd00::c30c:0:0:2,28.0,temperature,0,6
20:57,fd00::c30c:0:0:2,28.0,temperature,0,7
