Time,IPAddress,Value,Type,Critic,Observe
19:28,fd00::c30c:0:0:2,28.0,temperature,0,0
19:39,fd00::c30c:0:0:2,28.0,temperature,0,1
20:3,fd00::c30c:0:0:2,33.0,temperature,1,2
20:5,fd00::c30c:0:0:2,28.0,temperature,0,3
20:17,fd00::c30c:0:0:2,28.0,temperature,0,4
20:43,fd00::c30c:0:0:2,33.0,temperature,1,5
20:45,fd00::c30c:0:0:2,28.0,temperature,0,6
20:57,fd00::c30c:0:0:2,28.0,temperature,0,7
21:23,fd00::c30c:0:0:2,28.0,temperature,0,8
22:3,fd00::c30c:0:0:2,33.0,temperature,1,9
22:5,fd00::c30c:0:0:2,28.0,temperature,0,10
22:17,fd00::c30c:0:0:2,28.0,temperature,0,11
22:43,fd00::c30c:0:0:2,33.0,temperature,1,12
22:45,fd00::c30c:0:0:2,28.0,temperature,0,13
22:57,fd00::c30c:0:0:2,28.0,temperature,0,14
23:23,fd00::c30c:0:0:2,28.0,temperature,0,15
24:3,fd00::c30c:0:0:2,33.0,temperature,1,16
24:5,fd00::c30c:0:0:2,28.0,temperature,0,17
24:17,fd00::c30c:0:0:2,28.0,temperature,0,18
24:43,fd00::c30c:0:0:2,33.0,temperature,1,19
24:45,fd00::c30c:0:0:2,28.0,temperature,0,20
24:57,fd00::c30c:0:0:2,28.0,temperature,0,21
25:23,fd00::c30c:0:0:2,28.0,temperature,0,22
26:3,fd00::c30c:0:0:2,33.0,temperature,1,23
26:5,fd00::c30c:0:0:2,28.0,temperature,0,24
26:17,fd00::c30c:0:0:2,28.0,temperature,0,25
26:43,fd00::c30c:0:0:2,33.0,temperature,1,26
26:45,fd00::c30c:0:0:2,28.0,temperature,0,27
26:57,fd00::c30c:0:0:2,28.0,temperature,0,28
27:37,fd00::c30c:0:0:2,28.0,temperature,0,0
27:52,fd00::c30c:0:0:2,28.0,temperature,0,30
