Time,IPAddress,Value,Type,Critic,Observe
42:25,fd00::c30c:0:0:2,30.0,temperature,0,0
42:25,fd00::c30c:0:0:2,31.0,temperature,1,1
42:27,fd00::c30c:0:0:2,32.0,temperature,1,2
42:29,fd00::c30c:0:0:2,33.0,temperature,1,3
42:31,fd00::c30c:0:0:2,34.0,temperature,1,4
42:33,fd00::c30c:0:0:2,35.0,temperature,1,5
42:35,fd00::c30c:0:0:2,36.0,temperature,1,6
42:37,fd00::c30c:0:0:2,37.0,temperature,1,7
42:39,fd00::c30c:0:0:2,38.0,temperature,1,8
42:41,fd00::c30c:0:0:2,39.0,temperature,1,9
42:43,fd00::c30c:0:0:2,39.0,temperature,1,10
42:45,fd00::c30c:0:0:2,40.0,temperature,1,11
42:47,fd00::c30c:0:0:2,39.0,temperature,1,12
42:49,fd00::c30c:0:0:2,39.0,temperature,1,13
42:51,fd00::c30c:0:0:2,39.0,temperature,1,14
42:53,fd00::c30c:0:0:2,39.0,temperature,1,15
42:55,fd00::c30c:0:0:2,39.0,temperature,1,16
42:57,fd00::c30c:0:0:2,38.0,temperature,1,17
42:59,fd00::c30c:0:0:2,38.0,temperature,1,18
43:1,fd00::c30c:0:0:2,37.0,temperature,1,19
43:3,fd00::c30c:0:0:2,36.0,temperature,1,20
43:5,fd00::c30c:0:0:2,35.0,temperature,1,21
43:7,fd00::c30c:0:0:2,34.0,temperature,1,22
43:9,fd00::c30c:0:0:2,33.0,temperature,1,23
43:11,fd00::c30c:0:0:2,32.0,temperature,1,24
43:13,fd00::c30c:0:0:2,30.0,temperature,1,25
43:15,fd00::c30c:0:0:2,29.0,temperature,0,26
43:17,fd00::c30c:0:0:2,28.0,temperature,0,27
43:19,fd00::c30c:0:0:2,26.0,temperature,0,28
43:21,fd00::c30c:0:0:2,25.0,temperature,0,29
43:23,fd00::c30c:0:0:2,24.0,temperature,0,30
43:25,fd00::c30c:0:0:2,22.0,temperature,0,31
43:27,fd00::c30c:0:0:2,21.0,temperature,0,32
43:29,fd00::c30c:0:0:2,20.0,temperature,0,33
43:31,fd00::c30c:0:0:2,19.0,temperature,0,34
43:33,fd00::c30c:0:0:2,18.0,temperature,0,35
43:35,fd00::c30c:0:0:2,17.0,temperature,0,36
43:37,fd00::c30c:0:0:2,16.0,temperature,0,37
43:41,fd00::c30c:0:0:2,15.0,temperature,0,38
43:43,fd00::c30c:0:0:2,15.0,temperature,0,39
43:57,fd00::c30c:0:0:2,16.0,temperature,0,40
43:59,fd00::c30c:0:0:2,17.0,temperature,0,41
44:1,fd00::c30c:0:0:2,18.0,temperature,0,42
44:5,fd00::c30c:0:0:2,20.0,temperature,0,43
44:7,fd00::c30c:0:0:2,21.0,temperature,0,44
44:9,fd00::c30c:0:0:2,22.0,temperature,0,45
44:11,fd00::c30c:0:0:2,23.0,temperature,0,46
44:13,fd00::c30c:0:0:2,24.0,temperature,0,47
44:15,fd00::c30c:0:0:2,26.0,temperature,0,48
44:17,fd00::c30c:0:0:2,27.0,temperature,0,49
44:21,fd00::c30c:0:0:2,28.0,temperature,0,50
44:23,fd00::c30c:0:0:2,30.0,temperature,1,51
44:25,fd00::c30c:0:0:2,31.0,temperature,1,52
44:27,fd00::c30c:0:0:2,32.0,temperature,1,53
44:29,fd00::c30c:0:0:2,33.0,temperature,1,54
44:31,fd00::c30c:0:0:2,34.0,temperature,1,55
44:33,fd00::c30c:0:0:2,35.0,temperature,1,56
44:35,fd00::c30c:0:0:2,36.0,temperature,1,57
44:37,fd00::c30c:0:0:2,37.0,temperature,1,58
44:39,fd00::c30c:0:0:2,38.0,temperature,1,59
