Time,IPAddress,Value,Type,Critic,Observe
47:48,fd00::c30c:0:0:2,30.0,temperature,0,0
47:50,fd00::c30c:0:0:2,31.0,temperature,1,1
47:52,fd00::c30c:0:0:2,32.0,temperature,1,2
47:54,fd00::c30c:0:0:2,33.0,temperature,1,3
47:56,fd00::c30c:0:0:2,34.0,temperature,1,4
47:58,fd00::c30c:0:0:2,35.0,temperature,1,5
48:0,fd00::c30c:0:0:2,36.0,temperature,1,6
48:2,fd00::c30c:0:0:2,37.0,temperature,1,7
48:4,fd00::c30c:0:0:2,38.0,temperature,1,8
48:6,fd00::c30c:0:0:2,39.0,temperature,1,9
48:8,fd00::c30c:0:0:2,39.0,temperature,1,10
48:10,fd00::c30c:0:0:2,40.0,temperature,1,11
48:12,fd00::c30c:0:0:2,39.0,temperature,1,12
48:14,fd00::c30c:0:0:2,39.0,temperature,1,13
48:16,fd00::c30c:0:0:2,39.0,temperature,1,14
48:18,fd00::c30c:0:0:2,39.0,temperature,1,15
48:20,fd00::c30c:0:0:2,39.0,temperature,1,16
48:22,fd00::c30c:0:0:2,38.0,temperature,1,17
48:24,fd00::c30c:0:0:2,38.0,temperature,1,18
48:26,fd00::c30c:0:0:2,37.0,temperature,1,19
48:28,fd00::c30c:0:0:2,36.0,temperature,1,20
48:30,fd00::c30c:0:0:2,35.0,temperature,1,21
48:32,fd00::c30c:0:0:2,34.0,temperature,1,22
48:34,fd00::c30c:0:0:2,33.0,temperature,1,23
48:36,fd00::c30c:0:0:2,32.0,temperature,1,24
48:38,fd00::c30c:0:0:2,30.0,temperature,1,25
48:42,fd00::c30c:0:0:2,28.0,temperature,0,26
48:44,fd00::c30c:0:0:2,26.0,temperature,0,27
48:48,fd00::c30c:0:0:2,24.0,temperature,0,28
48:50,fd00::c30c:0:0:2,22.0,temperature,0,29
48:54,fd00::c30c:0:0:2,20.0,temperature,0,30
48:58,fd00::c30c:0:0:2,18.0,temperature,0,31
49:2,fd00::c30c:0:0:2,16.0,temperature,0,32
49:4,fd00::c30c:0:0:2,16.0,temperature,0,33
49:22,fd00::c30c:0:0:2,16.0,temperature,0,34
49:26,fd00::c30c:0:0:2,18.0,temperature,0,35
49:30,fd00::c30c:0:0:2,20.0,temperature,0,36
49:34,fd00::c30c:0:0:2,22.0,temperature,0,37
49:38,fd00::c30c:0:0:2,24.0,temperature,0,38
49:40,fd00::c30c:0:0:2,26.0,temperature,0,39
49:46,fd00::c30c:0:0:2,28.0,temperature,0,40
49:48,fd00::c30c:0:0:2,30.0,temperature,1,41
49:50,fd00::c30c:0:0:2,31.0,temperature,1,42
49:52,fd00::c30c:0:0:2,32.0,temperature,1,43
49:54,fd00::c30c:0:0:2,33.0,temperature,1,44
49:56,fd00::c30c:0:0:2,34.0,temperature,1,45
49:58,fd00::c30c:0:0:2,35.0,temperature,1,46
50:0,fd00::c30c:0:0:2,36.0,temperature,1,47
50:2,fd00::c30c:0:0:2,37.0,temperature,1,48
50:4,fd00::c30c:0:0:2,38.0,temperature,1,49
50:6,fd00::c30c:0:0:2,39.0,temperature,1,50
50:8,fd00::c30c:0:0:2,39.0,temperature,1,51
50:10,fd00::c30c:0:0:2,40.0,temperature,1,52
50:12,fd00::c30c:0:0:2,39.0,temperature,1,53
50:14,fd00::c30c:0:0:2,39.0,temperature,1,54
