Time,IPAddress,Value,Type,Critic,Observe
22:16,fd00::c30c:0:0:2,30.0,temperature,0,0
22:16,fd00::c30c:0:0:2,31.0,temperature,1,1
22:18,fd00::c30c:0:0:2,32.0,temperature,1,2
22:20,fd00::c30c:0:0:2,33.0,temperature,1,3
22:22,fd00::c30c:0:0:2,34.0,temperature,1,4
22:24,fd00::c30c:0:0:2,35.0,temperature,1,5
22:26,fd00::c30c:0:0:2,36.0,temperature,1,6
22:28,fd00::c30c:0:0:2,37.0,temperature,1,7
22:30,fd00::c30c:0:0:2,38.0,temperature,1,8
22:32,fd00::c30c:0:0:2,39.0,temperature,1,9
22:36,fd00::c30c:0:0:2,40.0,temperature,1,10
22:38,fd00::c30c:0:0:2,39.0,temperature,1,11
22:48,fd00::c30c:0:0:2,38.0,temperature,1,12
22:52,fd00::c30c:0:0:2,37.0,temperature,1,13
22:54,fd00::c30c:0:0:2,36.0,temperature,1,14
22:56,fd00::c30c:0:0:2,35.0,temperature,1,15
22:58,fd00::c30c:0:0:2,34.0,temperature,1,16
23:0,fd00::c30c:0:0:2,33.0,temperature,1,17
23:2,fd00::c30c:0:0:2,32.0,temperature,1,18
23:4,fd00::c30c:0:0:2,30.0,temperature,1,19
23:6,fd00::c30c:0:0:2,29.0,temperature,0,20
23:8,fd00::c30c:0:0:2,28.0,temperature,0,21
23:10,fd00::c30c:0:0:2,26.0,temperature,0,22
23:12,fd00::c30c:0:0:2,25.0,temperature,0,23
23:14,fd00::c30c:0:0:2,24.0,temperature,0,24
23:16,fd00::c30c:0:0:2,22.0,temperature,0,25
23:18,fd00::c30c:0:0:2,21.0,temperature,0,26
23:20,fd00::c30c:0:0:2,20.0,temperature,0,27
23:22,fd00::c30c:0:0:2,19.0,temperature,0,28
23:24,fd00::c30c:0:0:2,18.0,temperature,0,29
23:26,fd00::c30c:0:0:2,17.0,temperature,0,30
23:28,fd00::c30c:0:0:2,16.0,temperature,0,31
23:32,fd00::c30c:0:0:2,15.0,temperature,0,32
23:34,fd00::c30c:0:0:2,15.0,temperature,0,33
23:48,fd00::c30c:0:0:2,16.0,temperature,0,34
23:50,fd00::c30c:0:0:2,17.0,temperature,0,35
23:52,fd00::c30c:0:0:2,18.0,temperature,0,36
23:56,fd00::c30c:0:0:2,20.0,temperature,0,37
23:58,fd00::c30c:0:0:2,21.0,temperature,0,38
24:0,fd00::c30c:0:0:2,22.0,temperature,0,39
24:2,fd00::c30c:0:0:2,23.0,temperature,0,40
24:4,fd00::c30c:0:0:2,24.0,temperature,0,41
24:6,fd00::c30c:0:0:2,26.0,temperature,0,42
24:8,fd00::c30c:0:0:2,27.0,temperature,0,43
24:12,fd00::c30c:0:0:2,28.0,temperature,0,44
24:14,fd00::c30c:0:0:2,30.0,temperature,1,45
24:16,fd00::c30c:0:0:2,31.0,temperature,1,46
24:18,fd00::c30c:0:0:2,32.0,temperature,1,47
24:20,fd00::c30c:0:0:2,33.0,temperature,1,48
24:22,fd00::c30c:0:0:2,34.0,temperature,1,49
24:24,fd00::c30c:0:0:2,35.0,temperature,1,50
24:26,fd00::c30c:0:0:2,36.0,temperature,1,51
24:28,fd00::c30c:0:0:2,37.0,temperature,1,52
24:30,fd00::c30c:0:0:2,38.0,temperature,1,53
24:32,fd00::c30c:0:0:2,39.0,temperature,1,54
24:36,fd00::c30c:0:0:2,40.0,temperature,1,55
