Time,IPAddress,Value,Type,Critic,Observe
59:51,fd00::c30c:0:0:2,30.0,temperature,0,0
59:51,fd00::c30c:0:0:2,31.0,temperature,1,1
59:53,fd00::c30c:0:0:2,32.0,temperature,1,2
59:55,fd00::c30c:0:0:2,33.0,temperature,1,3
59:57,fd00::c30c:0:0:2,34.0,temperature,1,4
59:59,fd00::c30c:0:0:2,35.0,temperature,1,5
0:1,fd00::c30c:0:0:2,36.0,temperature,1,6
0:3,fd00::c30c:0:0:2,37.0,temperature,1,7
0:5,fd00::c30c:0:0:2,38.0,temperature,1,8
0:7,fd00::c30c:0:0:2,39.0,temperature,1,9
0:11,fd00::c30c:0:0:2,40.0,temperature,1,10
0:13,fd00::c30c:0:0:2,39.0,temperature,1,11
0:23,fd00::c30c:0:0:2,38.0,temperature,1,12
0:27,fd00::c30c:0:0:2,37.0,temperature,1,13
0:29,fd00::c30c:0:0:2,36.0,temperature,1,14
0:31,fd00::c30c:0:0:2,35.0,temperature,1,15
0:33,fd00::c30c:0:0:2,34.0,temperature,1,16
0:35,fd00::c30c:0:0:2,33.0,temperature,1,17
0:37,fd00::c30c:0:0:2,32.0,temperature,1,18
0:39,fd00::c30c:0:0:2,30.0,temperature,1,19
0:45,fd00::c30c:0:0:2,26.0,temperature,0,20
0:47,fd00::c30c:0:0:2,25.0,temperature,0,21
0:51,fd00::c30c:0:0:2,22.0,temperature,0,22
0:57,fd00::c30c:0:0:2,19.0,temperature,0,23
1:3,fd00::c30c:0:0:2,16.0,temperature,0,24
1:31,fd00::c30c:0:0:2,20.0,temperature,0,25
1:37,fd00::c30c:0:0:2,23.0,temperature,0,26
1:39,fd00::c30c:0:0:2,24.0,temperature,0,27
1:43,fd00::c30c:0:0:2,27.0,temperature,0,28
1:49,fd00::c30c:0:0:2,30.0,temperature,1,29
1:51,fd00::c30c:0:0:2,31.0,temperature,1,30
1:53,fd00::c30c:0:0:2,32.0,temperature,1,31
1:55,fd00::c30c:0:0:2,33.0,temperature,1,32
1:57,fd00::c30c:0:0:2,34.0,temperature,1,33
1:59,fd00::c30c:0:0:2,35.0,temperature,1,34
2:1,fd00::c30c:0:0:2,36.0,temperature,1,35
2:3,fd00::c30c:0:0:2,37.0,temperature,1,36
2:5,fd00::c30c:0:0:2,38.0,temperature,1,37
2:7,fd00::c30c:0:0:2,39.0,temperature,1,38
2:11,fd00::c30c:0:0:2,40.0,temperature,1,39
2:13,fd00::c30c:0:0:2,39.0,temperature,1,40
2:23,fd00::c30c:0:0:2,38.0,temperature,1,41
2:27,fd00::c30c:0:0:2,37.0,temperature,1,42
2:29,fd00::c30c:0:0:2,36.0,temperature,1,43
2:31,fd00::c30c:0:0:2,35.0,temperature,1,44
2:33,fd00::c30c:0:0:2,34.0,temperature,1,45
2:35,fd00::c30c:0:0:2,33.0,temperature,1,46
2:37,fd00::c30c:0:0:2,32.0,temperature,1,47
2:39,fd00::c30c:0:0:2,30.0,temperature,1,48
2:45,fd00::c30c:0:0:2,26.0,temperature,0,49
2:47,fd00::c30c:0:0:2,25.0,temperature,0,50
